wylie,translations
bag chags,привычные наклонности; привычные тенденции
bag la nyal,скрытый; потенциальный
bag med,неуважительность; легкомыслие; бесстыдство
bag yod,совестливость; благоразумие
bar do,промежуточное состояние; бардо
bar do ba,существо бардо; существо в состоянии бардо
bdag,эго; «я»; самость
bdag dang bdag gir ‘dzin pa,привязанность к “я” и “мое”
bdag med,отсутствие эго; отсутствие самости
bdag nyid,сущность
bdag tu ‘dzin pa,привязанность к «я»; привязанность к идее своего «я»
bde [ba],блаженство
blo,ум;интеллект
brtags min gyi ‘gog pa,неаналитическое прекращение
brtson ‘grus,усердие
bsam gtan,созерцание
bsam pa,намерение; замысел
bsgom pa,медитация
bsgrub pa,совершать; достигать
bsod nams,заслуга
byams pa,дружелюбие
byang [chub kyi] sems,Бодхичитта
byang [chub] sems [dpa‘],Бодхисаттва
byang chub,Просветление
byis pa,ребенок
bzung ba,воспринимать; хватать; держать
chad [pa‘i] lta [ba],нигилизм
chags pa,привязанность; возникать
chos,Дхарма; явление
chos [kyi] dbyings,Дхармадхату; пространство истины; пространство реальности
chos mngon,Абхидхарма
chos nyid,Дхармата; таковость
chos sku,Дхармакайя; Тело Истины; Состояние Истины
dad pa,вера; преданность
dag pa,чистый
dben pa,уединенный
dbu ma pa,последователь Мадхьямаки; приверженец философии Срединного Пути
de bzhin gshegs pa,Татхагата; Так Ушедший
de kho na [nyid],таковость; Именно То
de nyid,таковость; Именно То
dge ba,добродетель; позитивное действие
dge ba‘i bshes gnyen,духовный друг
dgra bcom pa,Архат
dmigs pa,визуализация
dngos po,материя
dngos sgrub,сиддхи; особые способности
don dam,абсолютный
dran pa,памятование; внимательность
gang zag,личность
gnas lugs,естественное состояние
gnyis [su] med [pa],недвойственность
gsal ba,ясный; ясность
gti mug,глупость
gtso bo,главный
gzhan dbang,зависящий от другого
gzhi,основа
gzugs,форма
ji snyed pa,"все, что есть; все, какие есть"
khams,элемент; первоэлемент
khro ba,гневный
klu,нага
kun rdzob pa‘i bden pa,относительная истина
kun slong,мотивация
lam,путь
las,карма
log rtog,ложное воззрение
lta ba,взгляд
ma rig pa,неведение
med pa,несуществование
mi dge ba,недобродетель; негативное действие
mi rigs,нелогичный
mi rtag pa,непостоянство; непостоянный
mi ‘thse ba,не причинение вреда
mngon par zhen pa,привязанность
mngon rtogs,постижение
mngon sum,прямой; непосредственный
mngon sum gyis shes pa,прямое знание; непосредственное познание
mnyam [par] gzhag [pa],медитативное равновесие
mthar lta,крайний взгляд
mthar ‘dzin pa,тяготение к крайностям; склонность к крайностям
mtshan gzhi,пример
mtshan nyid,свойство; описание свойств; философия
myang ‘das,Нирвана
myong ba,опыт; получать опыт; чувствовать
nga rgyal,гордость; гордыня
ngar ‘dzin,привязанность к «я»
nges ‘byung,непривязанность; отказ от Самсары
ngo bo,суть
nyams len,практика
nyan thos [rnams],шравака; слушатель; внимающий
nyon mongs,омрачение; омрачение сознания
pha rol tu phyin pa,парамита; совершенство
phrin las,Будда-действие; Будда-действия
phung po,скандха; совокупность
phyag rgya,мудра; жест
rang bzhin,природа
rang gi mtshan nyid,собственная характеристика
rang rig,самоосознание
rang sangs rgyas,Пратьекабудда; Будда-одиночка
rdo rje,ваджр
rdzas,субстанция
reg pa,контакт; прикосновение
rgyal ba,Будда; Победитель
rgyud,тантра; довод; линия преемственности
rig pa,осознание
rjes su dran pa,памятование
rmongs pa,заблуждение; глупость
rnam par thar pa,полное Освобождение; жизнеописание
rnam [par] rtog [pa],мысли; бесполезные мысли
rnam shes,сознание
rtag lta ba,этернализм
rten,опора
rten [cing] ‘brel [bar ‘byung ba],взаимозависимое возникновение + удачное стечение обстоятельств
rtog pa,концепция; мысль
rtogs pa,постижение; постигать
sbyin pa,давать; даяние; щедрость
sdig pa,прегрешение; проступок; злодеяние
sdug bsngal,страдание
sems,ум
sems bskyed,Бодхичитта
sems nyid,природа ума
sgo gsum,тело; речь и ум
sgom pa,медитация; медитировать
sgrib pa,завеса
sgro ‘dogs pa,преувеличение
sgyu ma,иллюзия
shes bzhin pa,
shes pa,знать; сознание
shes rab,мудрость
sku gsum,Трикайя; Три Тела Будды
smon lam,молитва; молитва-пожелание
snang,явление; свет; возникать
sngags,похвала
snying brtse,любовь
snying rje,сострадание; доброта
snying stobs,отвага; смелость
so sor brtags ‘gog,аналитическое прекращение
so sor rtog pa,проведение различий
so sor thar pa,индивидуальное Освобождение
spros pa,умопостроение(-я); суждение; концепция
sprul sku,Тулку; Нирманакайя; Тело Излучения; Тело Сострадательного Излучения
spyod pa,практика; наслаждение; поведение; действие; использование
sred pa,неутолимое желание; сильное желание
srid pa,существование
stong [pa] nyid,пустота
thams cad mkhyen pa,всеведение; всеведущий
thar pa,Освобождение
thos pa,слышать; слушание
thug pa med pa,бесконечный
ting nge ‘dzin,самадхи; медитативное сосредоточение; медитативное погружение
tshul khrims,дисциплина
ye shes,извечная мудрость; мудрость
yon tan,качество; благое качество; достоинство
yul,объект
zhe sdang,ненависть; гнев
zhi ba,спокойный; покой; спокойствие
‘bras bu,плод; результат
‘byor ba,приобретать; получать
‘dod chags,привязанность
‘dod pa,желать; желание
‘du shes,распознавание; идея
‘dus byas,состояние ума; состояние сознания
‘dzin pa,воспринимать; держать; хватать
‘gro ba,идти; существо
‘jig rten,мир; этот мир
‘jug pa‘i sems,Бодхичитта применения
‘khor ba,Самсара
‘phags pa,благородный
